"","wait_time"
"1",21.6666666666667
"100",21.25
"199",9.5
"226",31.2222222222222
"235",44.6153846153846
"244",28.3636363636364
"253",25.3846153846154
"262",9.45454545454546
"271",10.5294117647059
"10",18.4117647058824
"19",10
"28",9.83333333333333
"37",15.1
"46",29.6923076923077
"55",36.875
"64",20
"73",8.8
"82",5
"91",8.33333333333333
"109",11.3846153846154
"118",17.2727272727273
"127",21.6666666666667
"136",10
"145",15.0833333333333
"154",9.35294117647059
"163",10.5
"172",11.1052631578947
"181",31.1111111111111
"190",23.3333333333333
"208",8.71428571428571
"217",15.1764705882353
"1015",9.9
"1114",12.5
"1207",15.625
"1216",27.6666666666667
"1225",18.8333333333333
"1234",10
"1243",7.5
"1260",8.14285714285714
"1024",18.5
"1033",25.8333333333333
"1042",15.7142857142857
"1051",21.6666666666667
"1060",15.7142857142857
"1069",30
"1078",32.25
"1087",41.6666666666667
"1096",35.5714285714286
"1105",26.5
"1123",57.7777777777778
"1132",29.3636363636364
"1141",46.6666666666667
"1150",20
"1159",8.22222222222222
"1168",35.4166666666667
"1177",11.6666666666667
"1186",8.75
"1195",26.8461538461538
"1204",11.4444444444444
"1269",15.8333333333333
"1361",12.7
"1450",23.3571428571429
"1475",18.6428571428571
"1484",37.5
"1493",48.3333333333333
"1502",42.8
"1511",18.3333333333333
"1520",45
"1278",30.8333333333333
"1295",34.5
"1304",51.5263157894737
"1313",62.5
"1321",45.625
"1329",35
"1337",22
"1345",26.6666666666667
"1353",20
"1370",50.4
"1378",33.3333333333333
"1386",22.5
"1394",32.5
"1402",35.4166666666667
"1410",28.7058823529412
"1418",40
"1426",59.2857142857143
"1434",40.5454545454545
"1442",37.8235294117647
"1459",42.5
"1467",30.125
"1529",32
"1617",28
"1705",45.3846153846154
"1721",31
"1729",40.5333333333333
"1737",30.9285714285714
"1745",53.3333333333333
"1753",14.9
"1761",31.6666666666667
"1537",48.2222222222222
"1545",28.3333333333333
"1553",25
"1561",44.2307692307692
"1569",29.5
"1577",25.6666666666667
"1585",23.75
"1593",27.2857142857143
"1601",35
"1609",43.1818181818182
"1625",37.125
"1633",13.5555555555556
"1641",24.8
"1649",26.5625
"1657",27.25
"1665",21.4285714285714
"1673",43.3333333333333
"1681",23
"1689",33
"1697",26.6428571428571
"1713",20
"1769",26.3333333333333
"1857",18.3333333333333
"1945",32.1052631578947
"1969",20.1818181818182
"1977",22.0909090909091
"1985",17.5
"1993",17.1428571428571
"2001",25
"2009",25.7692307692308
"1777",39.7058823529412
"1785",12
"1793",24.7777777777778
"1801",18.3333333333333
"1809",12.5
"1817",10
"1825",20.8333333333333
"1833",33.7058823529412
"1841",20.375
"1849",38.4545454545455
"1865",48.3333333333333
"1873",39.6923076923077
"1881",35.0833333333333
"1889",34.2222222222222
"1897",40.6470588235294
"1905",35.7894736842105
"1913",16.8
"1921",35.75
"1929",9.66666666666667
"1937",16.9285714285714
"1953",34.2222222222222
"1961",14.1333333333333
"2017",21.3333333333333
"2105",17.6
"2192",28.6190476190476
"2208",37
"2216",53.3333333333333
"2224",36.7777777777778
"2232",60
"2240",58.7142857142857
"2248",28.1
"2025",30.6666666666667
"2033",38.7
"2041",41.6666666666667
"2049",34.5
"2057",52.5
"2065",36.2222222222222
"2073",15
"2081",5
"2089",27.7
"2097",31
"2113",63.3333333333333
"2121",37.7142857142857
"2129",39.2727272727273
"2137",11.2727272727273
"2152",15.4
"2160",34
"2168",70
"2176",45.4545454545455
"2184",36.5714285714286
"2200",9.14285714285714
"2256",14.2666666666667
"2344",19
"2432",22.5454545454545
"2454",11.5
"2462",29.375
"2470",13.1764705882353
"2478",10.25
"2486",14.1666666666667
"2494",12.5
"2264",16.7777777777778
"2272",13.3
"2280",18.2142857142857
"2288",15.4166666666667
"2296",7.66666666666667
"2304",7.70588235294118
"2312",19.2105263157895
"2320",22.2
"2328",32.5
"2336",23.5384615384615
"2352",14.5789473684211
"2360",13.5
"2368",14.2857142857143
"2376",12.6
"2384",16.3333333333333
"2392",38.0833333333333
"2400",22.4117647058824
"2408",11.6923076923077
"2416",10
"2424",8.8
"2440",10.2
"2447",17.3333333333333
"2502",13
"2590",11.1818181818182
"2678",9.6
"2702",7.66666666666667
"2710",11
"2718",15.8947368421053
"2726",19
"2734",44.8620689655172
"2742",26.1935483870968
"2510",15.375
"2518",11.2857142857143
"2526",11.304347826087
"2534",11.9565217391304
"2542",15.5263157894737
"2550",25.59375
"2558",17.6666666666667
"2566",15
"2574",13
"2582",20.7297297297297
"2598",13.75
"2606",12
"2614",37.0833333333333
"2622",13.6363636363636
"2630",9.93333333333333
"2638",14.2210526315789
"2646",11.4333333333333
"2654",10.8
"2662",38.0348837209302
"2670",31.2061855670103
"2686",19.2771084337349
"2694",11.1666666666667
"2750",15.4615384615385
"2836",27.0357142857143
"2924",9.88888888888889
"2940",10.2115384615385
"2948",10.280701754386
"2956",11.530612244898
"2964",9.80357142857143
"2972",13.8387096774194
"2980",10
"2758",11.1194029850746
"2765",12.8545454545455
"2772",9.39344262295082
"2780",10.4716981132075
"2788",23.4042553191489
"2796",8.5
"2804",21.0909090909091
"2812",22.8
"2820",16
"2828",12.8333333333333
"2844",17
"2852",30
"2860",11.8333333333333
"2868",15.2857142857143
"2876",21.3333333333333
"2884",25.5
"2892",26.8181818181818
"2900",10.7857142857143
